Barcode,Difference
s_008um_00305_00745-1,0
s_008um_00533_00186-1,0
s_008um_00358_00327-1,0
s_008um_00302_00463-1,0
s_008um_00439_00686-1,0
s_008um_00480_00394-1,0
s_008um_00476_00275-1,0
s_008um_00617_00525-1,0
s_008um_00270_00225-1,0
s_008um_00421_00673-1,0
s_008um_00375_00768-1,0
s_008um_00250_00764-1,0
s_008um_00318_00734-1,0
s_008um_00531_00773-1,0
s_008um_00490_00432-1,0
s_008um_00103_00329-1,0
s_008um_00339_00522-1,0
s_008um_00269_00429-1,0
s_008um_00466_00627-1,0
s_008um_00186_00774-1,0
s_008um_00458_00109-1,0
s_008um_00372_00343-1,0
s_008um_00307_00448-1,0
s_008um_00202_00288-1,0
s_008um_00251_00234-1,0
s_008um_00103_00339-1,0
s_008um_00269_00126-1,0
s_008um_00172_00390-1,0
s_008um_00238_00513-1,0
s_008um_00294_00354-1,0
s_008um_00561_00301-1,0
s_008um_00388_00571-1,0
s_008um_00483_00555-1,0
s_008um_00401_00635-1,0
s_008um_00416_00445-1,0
s_008um_00493_00497-1,0
s_008um_00588_00581-1,0
s_008um_00373_00231-1,0
s_008um_00238_00454-1,0
s_008um_00151_00503-1,0
s_008um_00556_00762-1,0
s_008um_00216_00139-1,0
s_008um_00181_00473-1,0
s_008um_00307_00269-1,0
s_008um_00659_00598-1,0
s_008um_00480_00431-1,0
s_008um_00588_00343-1,0
s_008um_00162_00542-1,0
s_008um_00155_00503-1,0
s_008um_00190_00220-1,0
s_008um_00294_00593-1,0
s_008um_00288_00280-1,0
s_008um_00378_00604-1,0
s_008um_00439_00804-1,0
s_008um_00435_00491-1,0
s_008um_00420_00117-1,0
s_008um_00070_00462-1,0
s_008um_00431_00265-1,0
s_008um_00266_00136-1,0
s_008um_00288_00206-1,0
s_008um_00188_00698-1,0
s_008um_00351_00531-1,0
s_008um_00368_00719-1,0
s_008um_00493_00452-1,0
s_008um_00495_00190-1,0
s_008um_00342_00680-1,0
s_008um_00315_00138-1,0
s_008um_00552_00294-1,0
s_008um_00568_00641-1,0
s_008um_00275_00572-1,0
s_008um_00344_00376-1,0
s_008um_00463_00497-1,0
s_008um_00146_00695-1,0
s_008um_00241_00396-1,0
s_008um_00437_00628-1,0
s_008um_00365_00506-1,0
s_008um_00323_00546-1,0
s_008um_00317_00172-1,0
s_008um_00085_00573-1,0
s_008um_00397_00471-1,0
s_008um_00509_00789-1,0
s_008um_00365_00081-1,0
s_008um_00653_00596-1,0
s_008um_00503_00354-1,0
s_008um_00490_00173-1,0
s_008um_00585_00515-1,0
s_008um_00107_00427-1,0
s_008um_00028_00233-1,0
s_008um_00430_00130-1,0
s_008um_00563_00458-1,0
s_008um_00386_00150-1,0
s_008um_00224_00399-1,0
s_008um_00152_00740-1,0
s_008um_00207_00253-1,0
